11238,"34901","3490105","ｻｲﾀﾏｹﾝ","ﾊｽﾀﾞｼ","ﾌｼﾞﾉｷ","埼玉県","蓮田市","藤ノ木",0,0,1,0,1,3
15210,"948  ","9480073","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ｲﾅﾘﾁﾖｳｻﾝﾁﾖｳﾒﾎﾝﾄﾞｵﾘ","新潟県","十日町市","稲荷町三丁目本通り",0,0,1,1,1,5
15210,"948  ","9480073","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ｲﾅﾘﾁﾖｳﾖﾝﾁﾖｳﾒ","新潟県","十日町市","稲荷町四丁目",0,0,1,1,1,5
15210,"948  ","9480003","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁﾖｳﾛｸﾉｲﾂﾁﾖｳﾒ","新潟県","十日町市","本町六の一丁目",0,0,1,1,1,5
15210,"948  ","9480003","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁﾖｳﾛｸﾉﾆﾁﾖｳﾒ","新潟県","十日町市","本町六の二丁目",0,0,1,1,1,5
15210,"948  ","9480003","ﾆｲｶﾞﾀｹﾝ","ﾄｵｶﾏﾁｼ","ﾎﾝﾁﾖｳﾛｸﾉｻﾝﾁﾖｳﾒ","新潟県","十日町市","本町六の三丁目",0,0,1,1,1,5
23234,"481  ","4810040","ｱｲﾁｹﾝ","ｷﾀﾅｺﾞﾔｼ","ﾆｼﾊﾙｴｷﾏｴ","愛知県","北名古屋市","西春駅前",0,0,1,0,1,5
26109,"612  ","6128418","ｷﾖｳﾄﾌ","ｷﾖｳﾄｼﾌｼﾐｸ","ﾀｹﾀﾞﾑｶｲｼﾛﾁﾖｳ","京都府","京都市伏見区","竹田向代町",0,0,0,0,1,5
26109,"612  ","6128417","ｷﾖｳﾄﾌ","ｷﾖｳﾄｼﾌｼﾐｸ","ﾀｹﾀﾞﾑｶｲｼﾛﾁﾖｳｶﾜﾏﾁ","京都府","京都市伏見区","竹田向代町川町",0,0,0,0,1,5
39387,"78116","7811606","ｺｳﾁｹﾝ","ｱｶﾞﾜｸﾞﾝﾆﾖﾄﾞｶﾞﾜﾁﾖｳ","ﾄﾞｲ(ｺｳ･ｵﾂ)","高知県","吾川郡仁淀川町","土居（甲・乙）",0,0,0,0,1,5
39387,"78116","7811624","ｺｳﾁｹﾝ","ｱｶﾞﾜｸﾞﾝﾆﾖﾄﾞｶﾞﾜﾁﾖｳ","ﾄﾞｲ(ｿﾉﾀ)","高知県","吾川郡仁淀川町","土居（その他）",0,0,0,0,1,5
